qseqid	hogid	overlap	family-score	subfamily-score	qseqlen	subfamily-medianseqlen
tr|A0A0K0PT99|A0A0K0PT99_SCLS1	HOG:D0900561.6c	0.9399538106235565	0.6003356488958023	0.6003356488958023	434	534
tr|A0A0K0PTA4|A0A0K0PTA4_SCLS1	na	na	na	na	451	na
tr|A0A0K0PTA9|A0A0K0PTA9_SCLS1	na	na	na	na	214	na
tr|A0A0K0PTB2|A0A0K0PTB2_SCLS1	HOG:D0685833	0.8108108108108109	0.3366889091310939	0.030149843055392127	297	256
tr|A0A0K0PTB7|A0A0K0PTB7_SCLS1	HOG:D0688895.2a	0.7712418300653595	0.540507250258705	0.540507250258705	154	135
tr|A0A0K0PTZ7|A0A0K0PTZ7_SCLS1	na	na	na	na	233	na
tr|A0A0K0PU01|A0A0K0PU01_SCLS1	na	na	na	na	194	na
tr|A0A0K0PU05|A0A0K0PU05_SCLS1	na	na	na	na	345	na
tr|A0A0K0PU07|A0A0K0PU07_SCLS1	na	na	na	na	188	na
tr|A0A0K0PU09|A0A0K0PU09_SCLS1	na	na	na	na	315	na
tr|A0A0K0PU11|A0A0K0PU11_SCLS1	na	na	na	na	226	na
tr|A0A0K0PU14|A0A0K0PU14_SCLS1	HOG:D0901374.1a.7a	0.9519774011299436	0.5844368813508753	0.5844368813508753	355	385
tr|A0A0K0PU19|A0A0K0PU19_SCLS1	HOG:D0375777	1.0	0.20929070795799096	0.20929070795799096	49	101
tr|A0A0K0PU24|A0A0K0PU24_SCLS1	HOG:D0679329.10bbz	0.984070796460177	0.37657948452699774	0.37657948452699774	566	494
tr|A7E3X9|A7E3X9_SCLS1	HOG:D0900522.3b	1.0	0.9988105819987588	0.9988105819987588	370	476
tr|A7E3Y0|A7E3Y0_SCLS1	HOG:D0681219.3c	1.0	0.9970172506488453	0.9970172506488453	966	1065
tr|A7E3Y1|A7E3Y1_SCLS1	HOG:D0433152	1.0	0.9996777936268356	0.9996777936268356	303	334
tr|A7E3Y2|A7E3Y2_SCLS1	HOG:D0394039	1.0	0.9998008241027727	0.9998008241027727	260	262
tr|A7E3Y3|A7E3Y3_SCLS1	HOG:D0680187.6b.16a	1.0	0.9997149341589581	0.9997149341589581	250	251
tr|A7E3Y4|A7E3Y4_SCLS1	HOG:D0429211	1.0	0.998548069528379	0.998548069528379	322	367
tr|A7E3Y5|A7E3Y5_SCLS1	HOG:D0671677.1b	1.0	0.9982784021472948	0.9982784021472948	413	449
tr|A7E3Y6|A7E3Y6_SCLS1	HOG:D0417489	1.0	0.9987225548016802	0.9987225548016802	433	555
tr|A7E3Y7|A7E3Y7_SCLS1	HOG:D0433207	1.0	0.9996558842878956	0.9996558842878956	260	290
tr|A7E3Y8|A7E3Y8_SCLS1	HOG:D0415755.1a	1.0	0.9998855759922443	0.9998855759922443	202	164
tr|A7E3Y9|A7E3Y9_SCLS1	HOG:D0375947	0.3113207547169811	0.277197283383138	0.277197283383138	107	128
tr|A7E3Z0|A7E3Z0_SCLS1	HOG:D0682144.1a	1.0	0.9980817412515752	0.9980817412515752	479	716
tr|A7E3Z1|A7E3Z1_SCLS1	na	na	na	na	117	na
tr|A7E3Z2|A7E3Z2_SCLS1	HOG:D0415462	1.0	0.9992116168371745	0.9992116168371745	503	504
tr|A7E3Z3|A7E3Z3_SCLS1	HOG:D0679542	0.6615384615384615	0.07771074860963363	0.07771074860963363	66	3832
sp|A7E3Z4|ENOPH_SCLS1	HOG:D0906722	0.8582677165354331	0.5333921386758759	0.5333921386758759	255	239
tr|A7E3Z5|A7E3Z5_SCLS1	HOG:D0415558	0.12371134020618557	0.07519274256850104	0.07519274256850104	98	852
tr|A7E3Z6|A7E3Z6_SCLS1	HOG:D0426239	1.0	0.9984639653309043	0.9984639653309043	429	639
tr|A7E3Z7|A7E3Z7_SCLS1	HOG:D0905851.5a	1.0	0.9981561483983108	0.9981561483983108	686	688
tr|A7E3Z8|A7E3Z8_SCLS1	HOG:D0426693.3a	1.0	0.9992208406393192	0.9992208406393192	448	674
tr|A7E3Z9|A7E3Z9_SCLS1	HOG:D0417373	0.86	0.0871677037472439	0.0871677037472439	51	703
tr|A7E400|A7E400_SCLS1	HOG:D0681623.2b.1b	1.0	0.9987234510404469	0.9987234510404469	291	291
tr|A7E401|A7E401_SCLS1	HOG:D0680495.2p	1.0	0.9996759938492038	0.9996759938492038	155	153
tr|A7E402|A7E402_SCLS1	HOG:D0679494.4d	1.0	0.9997244837425189	0.9997244837425189	98	91
tr|A7E403|A7E403_SCLS1	HOG:D0426692	0.9983193277310924	0.9984305244785685	0.9984305244785685	596	646
tr|A7E404|A7E404_SCLS1	HOG:D0682984.1b	1.0	0.9996353411989246	0.9996353411989246	103	102
tr|A7E405|A7E405_SCLS1	HOG:D0681074.9c.14a	1.0	0.9998262779648219	0.9998262779648219	121	117
tr|A7E406|A7E406_SCLS1	HOG:D0417975	1.0	0.9987036492571464	0.9987036492571464	422	464
tr|A7E407|A7E407_SCLS1	HOG:D0417222.1c	1.0	0.9999306818627525	0.9999306818627525	287	277
tr|A7E408|A7E408_SCLS1	HOG:D0367561	0.6363636363636364	0.10705634487496245	0.10705634487496245	34	579
tr|A7E409|A7E409_SCLS1	HOG:D0431193	1.0	0.9999026698982988	0.9999026698982988	278	234
tr|A7E410|A7E410_SCLS1	HOG:D0354813.4a	0.14814814814814814	0.06121103425379386	0.06121103425379386	55	339
tr|A7E411|A7E411_SCLS1	HOG:D0427071.2a.1b	1.0	0.9999461731014968	0.9999461731014968	411	452
tr|A7E412|A7E412_SCLS1	HOG:D0426475	0.8266666666666667	0.7137348747324604	0.7137348747324604	76	348
tr|A7E413|A7E413_SCLS1	HOG:D0426475	1.0	0.4524116788181187	0.4524116788181187	134	348
tr|A7E414|A7E414_SCLS1	HOG:D0704247	1.0	0.9998552602346029	0.9998552602346029	72	71
tr|A7E415|A7E415_SCLS1	HOG:D0681057.2a	1.0	0.999424786188663	0.999424786188663	246	247
tr|A7E416|A7E416_SCLS1	HOG:D0417301	1.0	0.9992351045742258	0.9992351045742258	308	285
tr|A7E417|A7E417_SCLS1	HOG:D0424013.2c.7d	0.48	0.24284890419376245	0.24284890419376245	76	1636
tr|A7E418|A7E418_SCLS1	HOG:D0907413.2c.11a.19d	1.0	0.9999572032377636	0.9999572032377636	404	394
tr|A7E419|A7E419_SCLS1	HOG:D0415399.1b	1.0	0.9999485052827969	0.9999485052827969	319	335
tr|A7E420|A7E420_SCLS1	HOG:D0394050	1.0	0.9998337883107651	0.9998337883107651	259	260
tr|A7E421|A7E421_SCLS1	HOG:D0429203	0.7906976744186046	0.07686232597719242	0.07686232597719242	44	891
tr|A7E422|A7E422_SCLS1	HOG:D0431117.6b	1.0	0.999880848717803	0.999880848717803	363	386
tr|A7E423|A7E423_SCLS1	HOG:D0910458.1a	0.9109947643979057	0.6073682875057881	0.56020529483675	192	354
tr|A7E424|A7E424_SCLS1	HOG:D0910458.1a	0.9146341463414634	0.24647447457388288	0.14698947834517903	83	354
tr|A7E425|A7E425_SCLS1	HOG:D0900884.1a.3a.10b.19b	1.0	0.9990881418421779	0.9990881418421779	380	343
tr|A7E426|A7E426_SCLS1	HOG:D0900130.11a.9a.21b	1.0	0.9998321307769584	0.9998321307769584	175	172
tr|A7E427|A7E427_SCLS1	HOG:D0691589.1b	1.0	0.9998466012693619	0.9998466012693619	253	316
tr|A7E428|A7E428_SCLS1	na	na	na	na	1063	na
tr|A7E429|A7E429_SCLS1	HOG:D0416984.1a	1.0	0.9997916378178008	0.9997916378178008	265	219
tr|A7E430|A7E430_SCLS1	HOG:D0680529	1.0	0.9914863561453865	0.9914863561453865	1356	1329
tr|A7E431|A7E431_SCLS1	HOG:D0679521.8a	1.0	0.9993831188500706	0.9993831188500706	448	440
tr|A7E432|A7E432_SCLS1	HOG:D0416184	1.0	0.999773252424131	0.999773252424131	620	692
tr|A7E433|A7E433_SCLS1	na	na	na	na	179	na
tr|A7E434|A7E434_SCLS1	HOG:D0416671.1c	1.0	0.9999826192508366	0.9999826192508366	264	263
tr|A7E435|A7E435_SCLS1	HOG:D0418593.3b.6a	1.0	0.9999815650678102	0.9999815650678102	374	373
sp|A7E436|DBP8_SCLS1	HOG:D0679329.10hjo.3337a	1.0	0.9993851943387969	0.9993851943387969	541	545
tr|A7E437|A7E437_SCLS1	HOG:D0426187	1.0	0.9990679479660631	0.9990679479660631	495	502
tr|A7E438|A7E438_SCLS1	na	na	na	na	579	na
tr|A7E439|A7E439_SCLS1	HOG:D0415746.2b	1.0	0.9999874676881623	0.9999874676881623	110	109
tr|A7E440|A7E440_SCLS1	na	na	na	na	561	na
tr|A7E441|A7E441_SCLS1	HOG:D0680172.5c.9a	1.0	0.9995991241964557	0.9995991241964557	1085	1022
tr|A7E442|A7E442_SCLS1	HOG:D0690063.2b	1.0	0.9993163835195559	0.9993163835195559	190	218
tr|A7E443|A7E443_SCLS1	HOG:D0682740	0.45454545454545453	0.24985186424016137	0.24985186424016137	78	127
tr|A7E444|A7E444_SCLS1	HOG:D0679723.4d	1.0	0.9998322566551627	0.9998322566551627	150	147
tr|A7E445|A7E445_SCLS1	HOG:D0899988.1e.5l.11c.26b	1.0	0.9999700834275952	0.9999700834275952	131	130
tr|A7E446|A7E446_SCLS1	HOG:D0428076	1.0	0.9984705870881114	0.9984705870881114	748	615
tr|A7E447|A7E447_SCLS1	na	na	na	na	101	na
tr|A7E448|A7E448_SCLS1	na	na	na	na	112	na
sp|A7E449|DBP2_SCLS1	HOG:D0679329.10jjx.3514b	0.23601398601398602	0.9980136284715059	0.9980136284715059	573	550
tr|A7E450|A7E450_SCLS1	HOG:D0907868	1.0	0.9980328310669573	0.9980328310669573	401	513
tr|A7E451|A7E451_SCLS1	HOG:D0429575	0.5303030303030303	0.07663766461893874	0.07663766461893874	67	1011
tr|A7E452|A7E452_SCLS1	HOG:D0426960.2b.2b	1.0	0.9998949372559077	0.9998949372559077	423	419
tr|A7E453|A7E453_SCLS1	HOG:D0704189	1.0	0.9993777932972717	0.9993777932972717	192	181
tr|A7E454|A7E454_SCLS1	na	na	na	na	94	na
tr|A7E455|A7E455_SCLS1	HOG:D0356492	0.12698412698412698	0.05165567278637751	0.01782711486428596	64	174
tr|A7E456|A7E456_SCLS1	HOG:D0389689	0.13793103448275862	0.056449811101898076	0.056449811101898076	59	258
tr|A7E457|A7E457_SCLS1	HOG:D0393716	0.006224066390041493	0.9997178531031572	0.9997178531031572	965	956
tr|A7E458|A7E458_SCLS1	HOG:D0417678	1.0	0.9989530202801412	0.9989530202801412	436	398
tr|A7E459|A7E459_SCLS1	na	na	na	na	70	na
tr|A7E460|A7E460_SCLS1	na	na	na	na	85	na
tr|A7E461|A7E461_SCLS1	na	na	na	na	88	na
tr|A7E462|A7E462_SCLS1	HOG:D0432605.1a	0.5135135135135135	0.05776292787730504	0.05776292787730504	75	1781
tr|A7E463|A7E463_SCLS1	HOG:D0400186	0.1702127659574468	0.07130752500635154	0.07130752500635154	48	502
tr|A7E464|A7E464_SCLS1	HOG:D0428604	0.4230769230769231	0.06328599580944284	0.022209470565362124	53	381
tr|A7E465|A7E465_SCLS1	HOG:D0685777	1.0	0.999214571209707	0.999214571209707	261	260
tr|A7E466|A7E466_SCLS1	HOG:D0899964.4b	1.0	0.9998835795655057	0.9998835795655057	144	143
tr|A7E467|A7E467_SCLS1	HOG:D0909585	1.0	0.9991091775347302	0.9991091775347302	440	436
tr|A7E468|A7E468_SCLS1	HOG:D0899963.1g.4a.12b	1.0	0.9999444614279385	0.9999444614279385	151	150
tr|A7E469|A7E469_SCLS1	HOG:D0426242.1a	0.9918831168831169	0.999105934585457	0.999105934585457	617	512
tr|A7E470|A7E470_SCLS1	HOG:D0415459	1.0	0.9997956826540821	0.9997956826540821	172	128
sp|A7E471|EIF3C_SCLS1	HOG:D0680460	0.9908045977011494	0.9944795886233431	0.9944795886233431	871	861
tr|A7E472|A7E472_SCLS1	HOG:D0386545	0.25806451612903225	0.16639895072549984	0.16639895072549984	32	558
tr|A7E473|A7E473_SCLS1	HOG:D0417454	0.6481481481481481	0.05519110003665451	0.05519110003665451	163	1309
tr|A7E474|A7E474_SCLS1	HOG:D0429176	1.0	0.9945313159325057	0.9945313159325057	1104	1160
tr|A7E475|A7E475_SCLS1	HOG:D0432115.2b	0.22857142857142856	0.09991485321714336	0.09991485321714336	36	313
tr|A7E476|A7E476_SCLS1	HOG:D0426781	1.0	0.998359523104453	0.998359523104453	843	896
tr|A7E477|A7E477_SCLS1	HOG:D0428081	1.0	0.9996800218392101	0.9996800218392101	430	400
tr|A7E478|A7E478_SCLS1	HOG:D0430958.3b	1.0	0.9999868695659538	0.9999868695659538	192	191
tr|A7E479|A7E479_SCLS1	HOG:D0682179.1c	0.9562841530054644	0.9988164634484102	0.9988164634484102	550	535
tr|A7E480|A7E480_SCLS1	HOG:D0681227	1.0	0.9992538273193774	0.9992538273193774	253	247
tr|A7E481|A7E481_SCLS1	HOG:D0905971.2b.8a	1.0	0.9998441146546336	0.9998441146546336	191	179
tr|A7E482|A7E482_SCLS1	na	na	na	na	192	na
tr|A7E483|A7E483_SCLS1	na	na	na	na	67	na
tr|A7E484|A7E484_SCLS1	HOG:D0902048.21b	1.0	0.9994953224207416	0.9994953224207416	303	302
tr|A7E485|A7E485_SCLS1	HOG:D0681581	1.0	0.9941605003681598	0.9941605003681598	1146	1318
tr|A7E486|A7E486_SCLS1	HOG:D0689050.4d	0.9981261711430356	0.992421867917899	0.992421867917899	1602	1494
tr|A7E487|A7E487_SCLS1	na	na	na	na	73	na
tr|A7E488|A7E488_SCLS1	na	na	na	na	192	na
tr|A7E489|A7E489_SCLS1	HOG:D0681278	0.4117647058823529	0.08626811485264008	0.033122415030842435	69	1092
tr|A7E490|A7E490_SCLS1	na	na	na	na	291	na
tr|A7E491|A7E491_SCLS1	HOG:D0429911.6b.1b	1.0	0.9999949035851905	0.9999949035851905	133	132
tr|A7E492|A7E492_SCLS1	HOG:D0671149.3a.1b	0.978515625	0.9984340013201167	0.9984340013201167	513	552
tr|A7E493|A7E493_SCLS1	HOG:D0435022	1.0	0.9982208361047025	0.9982208361047025	566	581
tr|A7E494|A7E494_SCLS1	na	na	na	na	101	na
tr|A7E495|A7E495_SCLS1	na	na	na	na	57	na
tr|A7E496|A7E496_SCLS1	na	na	na	na	335	na
tr|A7E497|A7E497_SCLS1	HOG:D0416541	1.0	0.9998689074180865	0.9998689074180865	513	507
tr|A7E498|A7E498_SCLS1	HOG:D0679405.9q	0.85	0.12911607813653553	0.0018478239812979803	621	607
tr|A7E499|A7E499_SCLS1	na	na	na	na	399	na
tr|A7E4A0|A7E4A0_SCLS1	na	na	na	na	601	na
tr|A7E4A1|A7E4A1_SCLS1	na	na	na	na	188	na
tr|A7E4A2|A7E4A2_SCLS1	HOG:D0417171.1b	0.11363636363636363	0.06019485364170076	0.06019485364170076	89	882
tr|A7E4A3|A7E4A3_SCLS1	HOG:D0433649	0.9276018099547512	0.08775032526305332	0.08775032526305332	222	530
tr|A7E4A4|A7E4A4_SCLS1	na	na	na	na	68	na
tr|A7E4A5|A7E4A5_SCLS1	HOG:D0393562.3b	1.0	0.9999969884790515	0.9999969884790515	458	457
tr|A7E4A6|A7E4A6_SCLS1	HOG:D0433927.5b	0.34	0.0814410862025977	0.0814410862025977	51	4022
tr|A7E4A7|A7E4A7_SCLS1	na	na	na	na	50	na
tr|A7E4A8|A7E4A8_SCLS1	na	na	na	na	598	na
tr|A7E4A9|A7E4A9_SCLS1	na	na	na	na	79	na
tr|A7E4B0|A7E4B0_SCLS1	HOG:D0430338.1b.1b	1.0	0.999908261567617	0.999908261567617	392	382
tr|A7E4B1|A7E4B1_SCLS1	na	na	na	na	73	na
tr|A7E4B2|A7E4B2_SCLS1	HOG:D0679423.10q	1.0	0.9993117446828814	0.9993117446828814	630	646
tr|A7E4B4|A7E4B4_SCLS1	HOG:D0672466	0.9148936170212766	0.0596872357115606	0.023406809884676666	95	2054
tr|A7E4B5|A7E4B5_SCLS1	HOG:D0427933	1.0	0.9991103039245612	0.9991103039245612	263	253
tr|A7E4B6|A7E4B6_SCLS1	HOG:D0682006	1.0	0.9977117676486603	0.9977117676486603	154	141
tr|A7E4B7|A7E4B7_SCLS1	HOG:D0680558.4b.6c.17a	1.0	0.99752834551184	0.99752834551184	701	489
tr|A7E4B8|A7E4B8_SCLS1	HOG:D0900277.4a	1.0	0.999677987798192	0.999677987798192	380	370
tr|A7E4B9|A7E4B9_SCLS1	HOG:D0430334.2b.6b	1.0	0.9997518791973007	0.9997518791973007	237	232
tr|A7E4C0|A7E4C0_SCLS1	na	na	na	na	110	na
tr|A7E4C1|A7E4C1_SCLS1	na	na	na	na	211	na
tr|A7E4C2|A7E4C2_SCLS1	HOG:D0900019.17a	1.0	0.9990816231988962	0.9990816231988962	431	413
tr|A7E4C3|A7E4C3_SCLS1	HOG:D0679514.2a	1.0	0.9995269116163212	0.9995269116163212	262	262
tr|A7E4C4|A7E4C4_SCLS1	HOG:D0686054.3c.3b	0.9959514170040485	0.9981421655309974	0.9981421655309974	248	233
tr|A7E4C5|A7E4C5_SCLS1	HOG:D0417011	1.0	0.9978662726791776	0.9978662726791776	526	467
tr|A7E4C6|A7E4C6_SCLS1	HOG:D0679589.8i.95e.97c.62b	1.0	0.9998772356272356	0.9998772356272356	311	346
tr|A7E4C7|A7E4C7_SCLS1	HOG:D0433553.2a	1.0	0.9982343020753446	0.9982273495616836	544	527
tr|A7E4C8|A7E4C8_SCLS1	HOG:D0433476.4b.1b.1a	0.7899159663865546	0.18352856281937302	0.16961245053211255	120	414
tr|A7E4C9|A7E4C9_SCLS1	HOG:D0433476.4b	0.889344262295082	0.061951685404575074	0.026051139555017293	245	468
tr|A7E4D0|A7E4D0_SCLS1	HOG:D0393520	0.9951278928136419	0.999684791803309	0.999684791803309	822	740
tr|A7E4D1|A7E4D1_SCLS1	HOG:D0680921.13a	0.7442748091603053	0.1966769578929312	0.018881803816127984	263	445
tr|A7E4D2|A7E4D2_SCLS1	na	na	na	na	284	na
tr|A7E4D3|A7E4D3_SCLS1	HOG:D0680411.8b	1.0	0.9963123077539116	0.9963123077539116	1936	1962
tr|A7E4D4|A7E4D4_SCLS1	na	na	na	na	452	na
tr|A7E4D5|A7E4D5_SCLS1	HOG:D0680361.5a	0.5254237288135594	0.08645623605045454	0.08645623605045454	60	1192
tr|A7E4D6|A7E4D6_SCLS1	HOG:D0434998	0.4025974025974026	0.052934054668399816	0.052934054668399816	78	1170
tr|A7E4D7|A7E4D7_SCLS1	HOG:D0679329.10hyh.3393d	0.47058823529411764	0.08009275715621884	0.08009275715621884	52	5834
tr|A7E4D8|A7E4D8_SCLS1	na	na	na	na	158	na
tr|A7E4D9|A7E4D9_SCLS1	na	na	na	na	121	na
tr|A7E4E0|A7E4E0_SCLS1	HOG:D0390391	0.1702127659574468	0.07123145512511178	0.07123145512511178	48	390
tr|A7E4E1|A7E4E1_SCLS1	HOG:D0428061	0.6862745098039216	0.06377104053214704	0.022341660776658355	52	676
tr|A7E4E2|A7E4E2_SCLS1	HOG:D0679441	1.0	0.9996525443121984	0.9996525443121984	281	364
tr|A7E4E3|A7E4E3_SCLS1	HOG:D0681070.3g.9b.2a.1a	0.20754716981132076	0.0830170850393906	0.0830170850393906	54	253
tr|A7E4E4|A7E4E4_SCLS1	HOG:D0679329.10ejn	0.2727272727272727	0.09105762304376144	0.027704494412949407	45	1940
tr|A7E4E5|A7E4E5_SCLS1	HOG:D0416159	1.0	0.9997986539744032	0.9997986539744032	133	127
tr|A7E4E6|A7E4E6_SCLS1	na	na	na	na	389	na
tr|A7E4E7|A7E4E7_SCLS1	HOG:D0679826.5b.20a	1.0	0.9982953131986163	0.9982953131986163	542	492
tr|A7E4E8|A7E4E8_SCLS1	HOG:D0417318	0.9682959048877147	0.997894763848158	0.997894763848158	758	798
tr|A7E4E9|A7E4E9_SCLS1	HOG:D0680087.9c.35d	0.0	0.9999586377333349	0.9999586377333349	306	305
tr|A7E4F0|A7E4F0_SCLS1	HOG:D0685762.4b.10b	1.0	0.9969106330772584	0.9969106330772584	775	707
tr|A7E4F1|A7E4F1_SCLS1	HOG:D0421290	0.9973614775725593	0.9983802535177048	0.9983802535177048	380	363
tr|A7E4F2|A7E4F2_SCLS1	na	na	na	na	162	na
tr|A7E4F3|A7E4F3_SCLS1	HOG:D0679760.6b.28c.20b	0.23529411764705882	0.10327419490317283	0.10327419490317283	35	1553
tr|A7E4F4|A7E4F4_SCLS1	HOG:D0393195.3a	1.0	0.9999858724528012	0.9999858724528012	270	269
tr|A7E4F5|A7E4F5_SCLS1	HOG:D0385689.5a	0.2903225806451613	0.15383365174195307	0.15383365174195307	32	472
tr|A7E4F6|A7E4F6_SCLS1	na	na	na	na	141	na
tr|A7E4F7|A7E4F7_SCLS1	HOG:D0385756	0.10294117647058823	0.0550472511194937	0.005275696691305731	205	278
tr|A7E4F8|A7E4F8_SCLS1	HOG:D0410197	0.9302949061662198	0.11169620463351221	0.11169620463351221	747	609
tr|A7E4F9|A7E4F9_SCLS1	na	na	na	na	72	na
tr|A7E4G0|A7E4G0_SCLS1	HOG:D0680481.2b.28a	1.0	0.9984831819969913	0.9984831819969913	704	767
tr|A7E4G1|A7E4G1_SCLS1	HOG:D0417216	1.0	0.9993470724190652	0.9993470724190652	322	277
tr|A7E4G2|A7E4G2_SCLS1	HOG:D0436064.1c	0.23684210526315788	0.12105898271105053	0.12105898271105053	39	282
tr|A7E4G3|A7E4G3_SCLS1	HOG:D0427113	1.0	0.9994312252463992	0.9994312252463992	220	235
tr|A7E4G4|A7E4G4_SCLS1	HOG:D0424082	0.8496503496503497	0.533407784594658	0.00752161740560154	287	615
tr|A7E4G5|A7E4G5_SCLS1	HOG:D0424082	0.7861111111111111	0.3179134472680771	0.3179134472680771	361	615
tr|A7E4G6|A7E4G6_SCLS1	HOG:D0900005	1.0	0.9990594848865928	0.9990594848865928	599	470
tr|A7E4G7|A7E4G7_SCLS1	HOG:D0417680.2e	1.0	0.9998518164904031	0.9998518164904031	829	870
tr|A7E4G8|A7E4G8_SCLS1	HOG:D0679407.6g.24b	1.0	0.9996589953382032	0.9996589953382032	246	244
tr|A7E4G9|A7E4G9_SCLS1	HOG:D0682933.3a.6b	0.9928057553956835	0.2979303485394566	0.04068180973190722	140	122
tr|A7E4H0|A7E4H0_SCLS1	HOG:D0906038.2b	1.0	0.9993543672307273	0.9993543672307273	536	514
tr|A7E4H1|A7E4H1_SCLS1	HOG:D0393580	1.0	0.9999421189318689	0.9999421189318689	131	132
tr|A7E4H2|A7E4H2_SCLS1	HOG:D0671673.4i.13b	1.0	0.99883923294461	0.99883923294461	471	470
sp|A7E4H3|RS3A_SCLS1	HOG:D0899969.1a.5d.12c	1.0	0.9998177151318226	0.9998177151318226	257	256
tr|A7E4H4|A7E4H4_SCLS1	HOG:D0679486.10dp	1.0	0.9998333851489092	0.9998333851489092	212	206
tr|A7E4H5|A7E4H5_SCLS1	HOG:D0686214.4c.9a	1.0	0.998757759451208	0.998757759451208	265	306
tr|A7E4H6|A7E4H6_SCLS1	HOG:D0421606	1.0	0.9997078111111483	0.9997078111111483	437	485
tr|A7E4H7|A7E4H7_SCLS1	HOG:D0426769.1a	1.0	0.9986307762271618	0.9986307762271618	582	543
tr|A7E4H8|A7E4H8_SCLS1	HOG:D0430287.2a	0.9111111111111111	0.7999380321439726	0.7999380321439726	46	53
tr|A7E4H9|A7E4H9_SCLS1	HOG:D0686082.6e.21c.15a	1.0	0.9999658666025089	0.9999658666025089	1619	1618
tr|A7E4I0|A7E4I0_SCLS1	HOG:D0685922.3c	1.0	0.9971025029931309	0.9971025029931309	399	407
tr|A7E4I1|A7E4I1_SCLS1	na	na	na	na	138	na
tr|A7E4I2|A7E4I2_SCLS1	HOG:D0671249.5a	1.0	0.9965799058275946	0.9965799058275946	1535	1574
tr|A7E4I3|A7E4I3_SCLS1	HOG:D0418075	0.8727272727272727	0.1597096540156093	0.1597096540156093	56	509
tr|A7E4I4|A7E4I4_SCLS1	HOG:D0418075	0.8168316831683168	0.09111087333780282	0.010927775141222148	203	509
tr|A7E4I5|A7E4I5_SCLS1	HOG:D0418392	1.0	0.9985235026607908	0.9985235026607908	577	572
tr|A7E4I6|A7E4I6_SCLS1	HOG:D0900142.6b.8a.20b.3b	1.0	0.948210665983582	0.8855698183208496	84	186
